video_urls,title,thumbnail_url,views,time_of_posting
https://www.youtube.com/watch?v=WObRrneLVRY,आपको Commerce में क्या सीखने को मिलता है ?? Complete Information,https://i.ytimg.com/vi/WObRrneLVRY/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLB22wdxfGJ8qHomPM8TcAMwI8FDRA,9644,1 day ago
https://www.youtube.com/watch?v=nX5ONgCdLcc,How to Attempt English Board Exam ????,https://i.ytimg.com/vi/nX5ONgCdLcc/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLA-CsQcSMRiaxzuJVMn37GAUFS6XQ,183657,5 days ago
https://www.youtube.com/watch?v=AM2Dt7cNebw,Best technique to attempt SST paper in Board exam || Class 10th,https://i.ytimg.com/vi/AM2Dt7cNebw/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDcx2UK_HLUzfaPFlhUyTJgu2fIBw,58276,6 days ago
https://www.youtube.com/watch?v=7nMJVhey9TM,Last Minute Strategy To Score More Than 98% || ICSE Boards || Class-10th,https://i.ytimg.com/vi/7nMJVhey9TM/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAA1_yMeJ7aezayVqtRUmtj_G__VA,24175,7 days ago
https://www.youtube.com/watch?v=FSVVlcFUCMk,Why You Should Choose Commerce After 10th? || Complete Information💯,https://i.ytimg.com/vi/FSVVlcFUCMk/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLARIR0hJMKXJX8SLLg3G8zDQdZX2Q,29940,8 days ago
https://www.youtube.com/watch?v=vKxdTuOirnI,Follow This Plan To Score More Than 95% in Boards || Topper's Strategy,https://i.ytimg.com/vi/vKxdTuOirnI/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCEm4kbyUZA7HIrFfBvf91CQytL8Q,333785,13 days ago
https://www.youtube.com/watch?v=hC86u4g6QPk,Everything About COMMERCE Stream !! Which Stream to Choose After Class 10th?,https://i.ytimg.com/vi/hC86u4g6QPk/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDYYTtZrlgJ4SZzl20cXwKrC6sw7A,26720,2 weeks ago
https://www.youtube.com/watch?v=7O5MY8Y1JCE,How to Attempt Maths Board Exam || Last Minute Strategy || Class-10th Boards,https://i.ytimg.com/vi/7O5MY8Y1JCE/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCPThh90o3Tv4W0cujjJDsB9gpV3w,340556,3 weeks ago
https://www.youtube.com/watch?v=01iTPgZGjvM,STATISTICS - MOST Important Questions || Class-10th,https://i.ytimg.com/vi/01iTPgZGjvM/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAosvsSkYp-DCA-FDUIbOVRPv_Pxg,47829,3 weeks ago
https://www.youtube.com/watch?v=pXjLbNAa_ag,SURFACE AREA & VOLUMES - MOST Important Questions || Class-10th,https://i.ytimg.com/vi/pXjLbNAa_ag/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAAeKKANUbPMlPPV7-SWWIutzJqkg,55812,3 weeks ago
https://www.youtube.com/watch?v=-abURVi907g,DOUBLE THEME - LONG QUESTIONS - Most Important Questions || Class-10th,https://i.ytimg.com/vi/-abURVi907g/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAVS-_hBCxqn9dvt484AvPtHu-GVg,91752,3 weeks ago
https://www.youtube.com/watch?v=LAsPxV5xZ58,REPORTED SPEECH in 30 Minutes || Mind Map Series for Class 10th,https://i.ytimg.com/vi/LAsPxV5xZ58/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCL9KOnCb8rWPoyzPa9LlEsCNNo6A,83554,3 weeks ago
https://www.youtube.com/watch?v=-Z-lZKDIW4w,CIRCLES - MOST Important Questions || Class-10th,https://i.ytimg.com/vi/-Z-lZKDIW4w/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBUYQDD4foxfFjJ6QaX8qRvNnYY9A,50900,1 month ago
https://www.youtube.com/watch?v=Gqza6yHk1Ks,THE BEGGAR  in One Shot - From Zero to Hero || Class 9th,https://i.ytimg.com/vi/Gqza6yHk1Ks/hqdefault.jpg?sqp=-oaymwEjCNACELwBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAPDlnxZmPftT9vY5M_zouvDn8bfQ,37300,1 month ago
